segment_id,position,element_id,element_name,data_type,requirement,min_len,max_len,repeat,description,notes
B4,B4-07,206,Equipment Initial,AN,Conditional,1,4,-,,"If either B4-07 or B4-08 is present, then the other is required B4-08 207 Equipment Number String (AN) Conditional 1 10 - Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred) B4-09 578 Equipment Status Code Identifier (ID) Optional 1 2 - Code indicating status of equipment Codes ( 14 ) B4-10 24 Equipment Type Identifier (ID) Optional 4 4 - Code identifying equipment type B4-11 310 Location Identifier String (AN) Conditional 1 30 - Code which identifies a specific location"
B4,B4-08,207,Equipment Number,AN,Conditional,1,10,-,,"If either B4-07 or B4-08 is present, then the other is required B4-08 207 Equipment Number String (AN) Conditional 1 10 - Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred) B4-09 578 Equipment Status Code Identifier (ID) Optional 1 2 - Code indicating status of equipment Codes ( 14 ) B4-10 24 Equipment Type Identifier (ID) Optional 4 4 - Code identifying equipment type B4-11 310 Location Identifier String (AN) Conditional 1 30 - Code which identifies a specific location"
B4,B4-09,578,Equipment Status Code,ID,Optional,1,2,-,,"If either B4-07 or B4-08 is present, then the other is required B4-08 207 Equipment Number String (AN) Conditional 1 10 - Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred) B4-09 578 Equipment Status Code Identifier (ID) Optional 1 2 - Code indicating status of equipment Codes ( 14 ) B4-10 24 Equipment Type Identifier (ID) Optional 4 4 - Code identifying equipment type B4-11 310 Location Identifier String (AN) Conditional 1 30 - Code which identifies a specific location"
B4,B4-10,24,Equipment Type,ID,Optional,4,4,-,,"If either B4-07 or B4-08 is present, then the other is required B4-08 207 Equipment Number String (AN) Conditional 1 10 - Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred) B4-09 578 Equipment Status Code Identifier (ID) Optional 1 2 - Code indicating status of equipment Codes ( 14 ) B4-10 24 Equipment Type Identifier (ID) Optional 4 4 - Code identifying equipment type B4-11 310 Location Identifier String (AN) Conditional 1 30 - Code which identifies a specific location"
B4,B4-11,310,Location Identifier,AN,Conditional,1,30,-,,"If either B4-07 or B4-08 is present, then the other is required B4-08 207 Equipment Number String (AN) Conditional 1 10 - Sequencing or serial part of an equipment unit's identifying number (pure numeric form for equipment number is preferred) B4-09 578 Equipment Status Code Identifier (ID) Optional 1 2 - Code indicating status of equipment Codes ( 14 ) B4-10 24 Equipment Type Identifier (ID) Optional 4 4 - Code identifying equipment type B4-11 310 Location Identifier String (AN) Conditional 1 30 - Code which identifies a specific location | If either B4-11 or B4-12 is present, then the other is required B4-12 309 Location Qualifier Identifier (ID) Conditional 1 2 - Code identifying type of location Codes ( 172 ) B4-13 761 Equipment Number Check Digit Numeric (N0) Optional 1 1 - Number which designates the check digit applied to a piece of equipment Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation. Appears in 109 Vessel Content Details 313 Shipment Status Inquiry (Ocean) 315 Status Details (Ocean) Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation."
B4,B4-12,309,Location Qualifier,ID,Conditional,1,2,-,,"If either B4-11 or B4-12 is present, then the other is required B4-12 309 Location Qualifier Identifier (ID) Conditional 1 2 - Code identifying type of location Codes ( 172 ) B4-13 761 Equipment Number Check Digit Numeric (N0) Optional 1 1 - Number which designates the check digit applied to a piece of equipment Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation. Appears in 109 Vessel Content Details 313 Shipment Status Inquiry (Ocean) 315 Status Details (Ocean) Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation."
B4,B4-13,761,Equipment Number Check Digit,N0,Optional,1,1,-,,"If either B4-11 or B4-12 is present, then the other is required B4-12 309 Location Qualifier Identifier (ID) Conditional 1 2 - Code identifying type of location Codes ( 172 ) B4-13 761 Equipment Number Check Digit Numeric (N0) Optional 1 1 - Number which designates the check digit applied to a piece of equipment Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation. Appears in 109 Vessel Content Details 313 Shipment Status Inquiry (Ocean) 315 Status Details (Ocean) Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation."
N9,N9-01,128,Reference Identification Qualifier,ID,Mandatory,2,3,-,,
N9,N9-02,127,Reference Identification,AN,Conditional,1,30,-,,"At least one of N9-02 or N9-03 is required N9-03 369 Free-form Description String (AN) Conditional 1 45 - Free-form descriptive text N9-04 373 Date Date (DT) Optional 8 8 - Date expressed as CCYYMMDD N9-05 337 Time Time (TM) Conditional 4 8 - Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99) N9-06 623 Time Code Identifier (ID) Optional 2 2 - Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow"
N9,N9-03,369,Free-form Description,AN,Conditional,1,45,-,,"At least one of N9-02 or N9-03 is required N9-03 369 Free-form Description String (AN) Conditional 1 45 - Free-form descriptive text N9-04 373 Date Date (DT) Optional 8 8 - Date expressed as CCYYMMDD N9-05 337 Time Time (TM) Conditional 4 8 - Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99) N9-06 623 Time Code Identifier (ID) Optional 2 2 - Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow | If either C040-03 or C040-04 is present, then the other is required Codes ( 1503 ) 04 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier 05 128 Reference Identification Qualifier Identifier (ID) Conditional 2 3 - Code qualifying the Reference Identification"
N9,N9-04,373,Date,DT,Optional,8,8,-,,"At least one of N9-02 or N9-03 is required N9-03 369 Free-form Description String (AN) Conditional 1 45 - Free-form descriptive text N9-04 373 Date Date (DT) Optional 8 8 - Date expressed as CCYYMMDD N9-05 337 Time Time (TM) Conditional 4 8 - Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99) N9-06 623 Time Code Identifier (ID) Optional 2 2 - Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow | If either C040-03 or C040-04 is present, then the other is required Codes ( 1503 ) 04 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier 05 128 Reference Identification Qualifier Identifier (ID) Conditional 2 3 - Code qualifying the Reference Identification"
N9,N9-05,337,Time,TM,Conditional,4,8,-,,"At least one of N9-02 or N9-03 is required N9-03 369 Free-form Description String (AN) Conditional 1 45 - Free-form descriptive text N9-04 373 Date Date (DT) Optional 8 8 - Date expressed as CCYYMMDD N9-05 337 Time Time (TM) Conditional 4 8 - Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99) N9-06 623 Time Code Identifier (ID) Optional 2 2 - Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow | If N9-06 is present, then N9-05 is required N906 reflects the time zone which the time reflects. Codes ( 51 ) N9-07 C040 Reference Identifier Composite (composite) Optional 01 128 Reference Identification Qualifier Identifier (ID) Mandatory 2 3 - Code qualifying the Reference Identification Codes ( 1503 ) 02 127 Reference Identification String (AN) Mandatory 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier 03 128 Reference Identification Qualifier Identifier (ID) Conditional 2 3 - Code qualifying the Reference Identification | If either C040-05 or C040-06 is present, then the other is required Codes ( 1503 ) 06 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation. Appears in 104 Air Shipment Information 109 Vessel Content Details 110 Air Freight Details and Invoice 112 Property Damage Report 124 Vehicle Damage 140 Product Registration 141 Product Service Claim Response 142 Product Service Claim 143 Product Service Notification 152 Statistical Government Information 154 Uniform Commercial Code Filing 155 Business Credit Report 159 Motion Picture Booking Confirmation 160 Transportation Automatic Equipment Identification 161 Train Sheet 163 Transportation Appointment Schedule Information 180 Return Merchandise Authorization and Notification 194 Grant or Assistance Application 197 Real Estate Title Evidence 202 Secondary Mortgage Market Loan Delivery 206 Real Estate Inspection 210 Motor Carrier Freight Details and Invoice 217 Motor Carrier Loading and Route Guide 218 Motor Carrier Tariff Information 252 Insurance Producer Administration 256 Periodic Compensation 263 Residential Mortgage Insurance Application Response 266 Mortgage or Property Record Change Notification 272 Property and Casualty Loss Notification 285 Commercial Vehicle Safety and Credentials Information Exchange 286 Commercial Vehicle Credentials 300 Reservation (Booking Request) (Ocean) 301 Confirmation (Ocean) 304 Shipping Instructions 309 U.S. Customs Manifest 310 Freight Receipt and Invoice (Ocean) 311 Canadian Customs Information 312 Arrival Notice (Ocean) 313 Shipment Status Inquiry (Ocean) 315 Status Details (Ocean) 317 Delivery/Pickup Order 322 Terminal Operations and Intermodal Ramp Activity 324 Vessel Stow Plan (Ocean) 325 Consolidation of Goods In Container 326 Consignment Summary List 350 U.S. Customs Status Information 355 U.S. Customs Acceptance/Rejection 404 Rail Carrier Shipment Information 410 Rail Carrier Freight Details and Invoice 417 Rail Carrier Waybill Interchange 421 Estimated Time of Arrival and Car Scheduling 422 Shipper's Car Order 426 Rail Revenue Waybill 432 Rail Deprescription 435 Standard Transportation Commodity Code Master 452 Railroad Problem Log Inquiry or Advice 455 Railroad Parameter Trace Registration 456 Railroad Equipment Inquiry or Advice 470 Railroad Clearance 511 Requisition 517 Material Obligation Validation 527 Material Due-In and Receipt 536 Logistics Reassignment 561 Contract Abstract 567 Contract Completion Status 568 Contract Payment Management Report 602 Transportation Services Tender 805 Contract Pricing Proposal 810 Invoice 812 Credit/Debit Adjustment 820 Payment Order/Remittance Advice 831 Application Control Totals 832 Price/Sales Catalog 838 Trading Partner Profile 840 Request for Quotation 841 Specifications/Technical Information 843 Response to Request for Quotation 844 Product Transfer Account Adjustment 850 Purchase Order 851 Asset Schedule 852 Product Activity Data 854 Shipment Delivery Discrepancy Information 855 Purchase Order Acknowledgment 857 Shipment and Billing Notice 858 Shipment Information 859 Freight Invoice 860 Purchase Order Change Request - Buyer Initiated 865 Purchase Order Change Acknowledgment/Request - Seller Initiated 867 Product Transfer and Resale Report 875 Grocery Products Purchase Order 876 Grocery Products Purchase Order Change 879 Price Information 880 Grocery Products Invoice 881 Manufacturer Coupon Redemption Detail 882 Direct Store Delivery Summary Information 884 Market Development Fund Settlement 885 Retail Account Characteristics 887 Coupon Notification 888 Item Maintenance 889 Promotion Announcement 891 Deduction Research Report 894 Delivery/Return Base Record 896 Product Dimension Maintenance 920 Loss or Damage Claim - General Commodities 940 Warehouse Shipping Order 943 Warehouse Stock Transfer Shipment Advice 944 Warehouse Stock Transfer Receipt Advice 945 Warehouse Shipping Advice 947 Warehouse Inventory Adjustment Advice 990 Response to a Load Tender Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation."
N9,N9-06,623,Time Code,ID,Optional,2,2,-,,"the time zone which the time reflects | At least one of N9-02 or N9-03 is required N9-03 369 Free-form Description String (AN) Conditional 1 45 - Free-form descriptive text N9-04 373 Date Date (DT) Optional 8 8 - Date expressed as CCYYMMDD N9-05 337 Time Time (TM) Conditional 4 8 - Time expressed in 24-hour clock time as follows: HHMM, or HHMMSS, or HHMMSSD, or HHMMSSDD, where H = hours (00-23), M = minutes (00-59), S = integer seconds (00-59) and DD = decimal seconds; decimal seconds are expressed as follows: D = tenths (0-9) and DD = hundredths (00-99) N9-06 623 Time Code Identifier (ID) Optional 2 2 - Code identifying the time. In accordance with International Standards Organization standard 8601, time can be specified by a + or - and an indication in hours in relation to Universal Time Coordinate (UTC) time; since + is a restricted character, + and - are substituted by P and M in the codes that follow | If N9-06 is present, then N9-05 is required N906 reflects the time zone which the time reflects. Codes ( 51 ) N9-07 C040 Reference Identifier Composite (composite) Optional 01 128 Reference Identification Qualifier Identifier (ID) Mandatory 2 3 - Code qualifying the Reference Identification Codes ( 1503 ) 02 127 Reference Identification String (AN) Mandatory 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier 03 128 Reference Identification Qualifier Identifier (ID) Conditional 2 3 - Code qualifying the Reference Identification | If either C040-05 or C040-06 is present, then the other is required Codes ( 1503 ) 06 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation. Appears in 104 Air Shipment Information 109 Vessel Content Details 110 Air Freight Details and Invoice 112 Property Damage Report 124 Vehicle Damage 140 Product Registration 141 Product Service Claim Response 142 Product Service Claim 143 Product Service Notification 152 Statistical Government Information 154 Uniform Commercial Code Filing 155 Business Credit Report 159 Motion Picture Booking Confirmation 160 Transportation Automatic Equipment Identification 161 Train Sheet 163 Transportation Appointment Schedule Information 180 Return Merchandise Authorization and Notification 194 Grant or Assistance Application 197 Real Estate Title Evidence 202 Secondary Mortgage Market Loan Delivery 206 Real Estate Inspection 210 Motor Carrier Freight Details and Invoice 217 Motor Carrier Loading and Route Guide 218 Motor Carrier Tariff Information 252 Insurance Producer Administration 256 Periodic Compensation 263 Residential Mortgage Insurance Application Response 266 Mortgage or Property Record Change Notification 272 Property and Casualty Loss Notification 285 Commercial Vehicle Safety and Credentials Information Exchange 286 Commercial Vehicle Credentials 300 Reservation (Booking Request) (Ocean) 301 Confirmation (Ocean) 304 Shipping Instructions 309 U.S. Customs Manifest 310 Freight Receipt and Invoice (Ocean) 311 Canadian Customs Information 312 Arrival Notice (Ocean) 313 Shipment Status Inquiry (Ocean) 315 Status Details (Ocean) 317 Delivery/Pickup Order 322 Terminal Operations and Intermodal Ramp Activity 324 Vessel Stow Plan (Ocean) 325 Consolidation of Goods In Container 326 Consignment Summary List 350 U.S. Customs Status Information 355 U.S. Customs Acceptance/Rejection 404 Rail Carrier Shipment Information 410 Rail Carrier Freight Details and Invoice 417 Rail Carrier Waybill Interchange 421 Estimated Time of Arrival and Car Scheduling 422 Shipper's Car Order 426 Rail Revenue Waybill 432 Rail Deprescription 435 Standard Transportation Commodity Code Master 452 Railroad Problem Log Inquiry or Advice 455 Railroad Parameter Trace Registration 456 Railroad Equipment Inquiry or Advice 470 Railroad Clearance 511 Requisition 517 Material Obligation Validation 527 Material Due-In and Receipt 536 Logistics Reassignment 561 Contract Abstract 567 Contract Completion Status 568 Contract Payment Management Report 602 Transportation Services Tender 805 Contract Pricing Proposal 810 Invoice 812 Credit/Debit Adjustment 820 Payment Order/Remittance Advice 831 Application Control Totals 832 Price/Sales Catalog 838 Trading Partner Profile 840 Request for Quotation 841 Specifications/Technical Information 843 Response to Request for Quotation 844 Product Transfer Account Adjustment 850 Purchase Order 851 Asset Schedule 852 Product Activity Data 854 Shipment Delivery Discrepancy Information 855 Purchase Order Acknowledgment 857 Shipment and Billing Notice 858 Shipment Information 859 Freight Invoice 860 Purchase Order Change Request - Buyer Initiated 865 Purchase Order Change Acknowledgment/Request - Seller Initiated 867 Product Transfer and Resale Report 875 Grocery Products Purchase Order 876 Grocery Products Purchase Order Change 879 Price Information 880 Grocery Products Invoice 881 Manufacturer Coupon Redemption Detail 882 Direct Store Delivery Summary Information 884 Market Development Fund Settlement 885 Retail Account Characteristics 887 Coupon Notification 888 Item Maintenance 889 Promotion Announcement 891 Deduction Research Report 894 Delivery/Return Base Record 896 Product Dimension Maintenance 920 Loss or Damage Claim - General Commodities 940 Warehouse Shipping Order 943 Warehouse Stock Transfer Shipment Advice 944 Warehouse Stock Transfer Receipt Advice 945 Warehouse Shipping Advice 947 Warehouse Inventory Adjustment Advice 990 Response to a Load Tender Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation."
N9,N9-07,C040,Reference Identifier,composite,Optional,01,128,,,"If N9-06 is present, then N9-05 is required N906 reflects the time zone which the time reflects. Codes ( 51 ) N9-07 C040 Reference Identifier Composite (composite) Optional 01 128 Reference Identification Qualifier Identifier (ID) Mandatory 2 3 - Code qualifying the Reference Identification Codes ( 1503 ) 02 127 Reference Identification String (AN) Mandatory 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier 03 128 Reference Identification Qualifier Identifier (ID) Conditional 2 3 - Code qualifying the Reference Identification"
Q2,Q2-01,597,Vessel Code,ID,Optional,1,8,-,,
Q2,Q2-02,26,Country Code,ID,Optional,2,3,-,,the code identifying the country in which the ship (vessel) is registered
Q2,Q2-03,373,Date,DT,Optional,8,8,-,,the required pier date
Q2,Q2-04,373,Date,DT,Optional,8,8,-,,the date of departure of the vessel
Q2,Q2-05,373,Date,DT,Optional,8,8,-,,the date the shipment was unloaded from the vessel
Q2,Q2-06,80,Lading Quantity,N0,Optional,1,7,-,,
Q2,Q2-08,187,Weight Qualifier,ID,Conditional,1,2,-,,
Q2,Q2-09,55,Flight/Voyage Number,AN,Optional,2,10,-,,
Q2,Q2-10,128,Reference Identification Qualifier,ID,Optional,2,3,-,,"If Q2-10 is present, then Q2-11 is required Codes ( 1503 ) Q2-11 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Q2-12 897 Vessel Code Qualifier Identifier (ID) Optional 1 1 - Code specifying vessel code source Codes ( 4 ) Q2-13 182 Vessel Name String (AN) Optional 2 28 - Name of ship as documented in ""Lloyd's Register of Ships"" Q2-14 183 Volume Decimal number (R) Conditional 1 8 - Value of volumetric measure"
Q2,Q2-11,127,Reference Identification,AN,Conditional,1,30,-,,"If Q2-10 is present, then Q2-11 is required Codes ( 1503 ) Q2-11 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Q2-12 897 Vessel Code Qualifier Identifier (ID) Optional 1 1 - Code specifying vessel code source Codes ( 4 ) Q2-13 182 Vessel Name String (AN) Optional 2 28 - Name of ship as documented in ""Lloyd's Register of Ships"" Q2-14 183 Volume Decimal number (R) Conditional 1 8 - Value of volumetric measure"
Q2,Q2-12,897,Vessel Code Qualifier,ID,Optional,1,1,-,,"If Q2-10 is present, then Q2-11 is required Codes ( 1503 ) Q2-11 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Q2-12 897 Vessel Code Qualifier Identifier (ID) Optional 1 1 - Code specifying vessel code source Codes ( 4 ) Q2-13 182 Vessel Name String (AN) Optional 2 28 - Name of ship as documented in ""Lloyd's Register of Ships"" Q2-14 183 Volume Decimal number (R) Conditional 1 8 - Value of volumetric measure"
Q2,Q2-13,182,Vessel Name,AN,Optional,2,28,-,,"If Q2-10 is present, then Q2-11 is required Codes ( 1503 ) Q2-11 127 Reference Identification String (AN) Conditional 1 30 - Reference information as defined for a particular Transaction Set or as specified by the Reference Identification Qualifier Q2-12 897 Vessel Code Qualifier Identifier (ID) Optional 1 1 - Code specifying vessel code source Codes ( 4 ) Q2-13 182 Vessel Name String (AN) Optional 2 28 - Name of ship as documented in ""Lloyd's Register of Ships"" Q2-14 183 Volume Decimal number (R) Conditional 1 8 - Value of volumetric measure"
Q2,Q2-15,184,Volume Unit Qualifier,ID,Conditional,1,1,-,,"If either Q2-14 or Q2-15 is present, then the other is required Q2-15 184 Volume Unit Qualifier Identifier (ID) Conditional 1 1 - Code identifying the volume unit Codes ( 16 ) Q2-16 188 Weight Unit Code Identifier (ID) Conditional 1 1 - Code specifying the weight unit Codes ( 8 ) Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation. Appears in 109 Vessel Content Details 315 Status Details (Ocean) Stedi Stedi.com Documentation Contact us Privacy settings Stedi and the S design mark are registered trademarks of Stedi, Inc. Stedi's EDI Reference is provided for marketing purposes and is free of charge. All names, logos, and brands of third parties listed on our site are trademarks of their respective owners (including “X12”, which is a trademark of X12 Incorporated). Stedi, Inc. and its products and services are not endorsed by, sponsored by, or affiliated with these third parties. Our use of these names, logos, and brands is for identification purposes only, and does not imply any such endorsement, sponsorship, or affiliation."
